family,task,scenario,model,expected_seeds,completed_seeds,pending_seeds,complete
family2_full_microbiome_clr_raw_env,regression_18_positive,C_environment_microbiome,tabpfn,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_18_positive,C_environment_microbiome,tabiclv2,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,A_environment,pysr,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,A_environment,random_forest,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,A_environment,xgboost,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,A_environment,tabpfn,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,A_environment,tabiclv2,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,B_microbiome,pysr,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,B_microbiome,random_forest,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,B_microbiome,xgboost,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,B_microbiome,tabpfn,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,B_microbiome,tabiclv2,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,C_environment_microbiome,pysr,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,C_environment_microbiome,random_forest,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,C_environment_microbiome,xgboost,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,C_environment_microbiome,tabpfn,100,100,0,True
family2_full_microbiome_clr_raw_env,regression_50_all_samples,C_environment_microbiome,tabiclv2,100,100,0,True
family3_marta_subset_clr_raw_env,classification,A_environment,pysr,100,100,0,True
family3_marta_subset_clr_raw_env,classification,A_environment,random_forest,100,100,0,True
family3_marta_subset_clr_raw_env,classification,A_environment,xgboost,100,100,0,True
family3_marta_subset_clr_raw_env,classification,A_environment,tabpfn,100,100,0,True
family3_marta_subset_clr_raw_env,classification,A_environment,tabiclv2,100,100,0,True
family3_marta_subset_clr_raw_env,classification,B_microbiome,pysr,100,100,0,True
family3_marta_subset_clr_raw_env,classification,B_microbiome,random_forest,100,100,0,True
family3_marta_subset_clr_raw_env,classification,B_microbiome,xgboost,100,100,0,True
family3_marta_subset_clr_raw_env,classification,B_microbiome,tabpfn,100,100,0,True
family3_marta_subset_clr_raw_env,classification,B_microbiome,tabiclv2,100,100,0,True
family3_marta_subset_clr_raw_env,classification,C_environment_microbiome,pysr,100,100,0,True
family3_marta_subset_clr_raw_env,classification,C_environment_microbiome,random_forest,100,100,0,True
family3_marta_subset_clr_raw_env,classification,C_environment_microbiome,xgboost,100,100,0,True
family3_marta_subset_clr_raw_env,classification,C_environment_microbiome,tabpfn,100,100,0,True
family3_marta_subset_clr_raw_env,classification,C_environment_microbiome,tabiclv2,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,A_environment,pysr,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,A_environment,random_forest,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,A_environment,xgboost,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,A_environment,tabpfn,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,A_environment,tabiclv2,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,B_microbiome,pysr,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,B_microbiome,random_forest,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,B_microbiome,xgboost,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,B_microbiome,tabpfn,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,B_microbiome,tabiclv2,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,C_environment_microbiome,pysr,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,C_environment_microbiome,random_forest,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,C_environment_microbiome,xgboost,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,C_environment_microbiome,tabpfn,100,100,0,True
family3_marta_subset_clr_raw_env,regression_18_positive,C_environment_microbiome,tabiclv2,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,A_environment,pysr,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,A_environment,random_forest,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,A_environment,xgboost,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,A_environment,tabpfn,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,A_environment,tabiclv2,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,B_microbiome,pysr,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,B_microbiome,random_forest,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,B_microbiome,xgboost,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,B_microbiome,tabpfn,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,B_microbiome,tabiclv2,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,C_environment_microbiome,pysr,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,C_environment_microbiome,random_forest,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,C_environment_microbiome,xgboost,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,C_environment_microbiome,tabpfn,100,100,0,True
family3_marta_subset_clr_raw_env,regression_50_all_samples,C_environment_microbiome,tabiclv2,100,100,0,True
