family,preprocessing,task,scenario,model,feature,mean_relative_frequency,n_seeds_total,n_seeds_with_feature,status
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B230_Micromonospora,0.01,100,13,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B233_Unclassified_Genus39,0.0093333333333333,100,13,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B234_Lachnoclostridium,0.048,100,54,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B236_Paenibacillus,0.3775714285714286,100,100,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B238_Hyphomicrobium,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B23_Flavobacterium,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B243_Rhabdobacter,0.006,100,9,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B245_Octadecabacter,0.1834285714285714,100,94,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B247_Fluviicola,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B250_Pseudolabrys,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B254_Euzebya,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B255_Methylibium,0.0026666666666666,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B259_Aurantimonas,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B25_Methylobacterium_Methylorubrum,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B261_Unclassified_Genus45,0.0139999999999999,100,21,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B269_Luteimonas,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B26_Pseudomonas,0.0613809523809523,100,66,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B276_Pedomicrobium,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B278_Unclassified_Genus49,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B28_Clostridium_sensu_stricto_12,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B291_Leptothrix,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B293_Unclassified_Genus53,0.0033333333333333,100,5,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B297_Aquimonas,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B298_Aurantisolimonas,0.0720952380952381,100,67,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B29_Unclassified_Genus1,0.0193333333333333,100,26,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B309_Unclassified_Genus58,0.0126666666666666,100,17,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B311_Bdellovibrio,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B312_Methyloceanibacter,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B316_Clostridium_sensu_stricto_9,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B317_Streptosporangium,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B319_Unclassified_Genus62,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B31_Acidovorax,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B322_Defluviicoccus,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B324_Adhaeribacter,0.0026666666666666,100,4,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B327_Clavibacter,0.01,100,13,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B328_Unclassified_Genus65,0.0227142857142857,100,30,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B32_Rathayibacter,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B332_Lautropia,0.006,100,9,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B336_Hirschia,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B338_Geminicoccus,0.0553333333333333,100,61,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B341_Unclassified_Genus69,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B343_Rhodoferax,0.0066666666666666,100,10,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B348_Unclassified_Genus71,0.044047619047619,100,50,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B350_Unclassified_Genus72,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B366_Blastocatella,0.0147619047619047,100,20,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B373_Verrucosispora,0.0086666666666666,100,13,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B376_Unclassified_Genus82,0.0246666666666666,100,31,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B379_Rubellimicrobium,0.004,100,6,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B380_Pelosinus,0.0026666666666666,100,4,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B385_Unclassified_Genus86,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B38_Unclassified_Genus2,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B393_Unclassified_Genus92,0.0493333333333333,100,51,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B394_Paraclostridium,0.0066666666666666,100,10,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B396_Segetibacter,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B397_Unclassified_Genus93,0.0026666666666666,100,4,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B399_Unclassified_Genus94,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B39_Burkholderia_Caballeronia_Paraburkholderia,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B3_Rothia,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B404_Asticcacaulis,0.0013809523809523,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B411_Unclassified_Genus99,0.0046666666666666,100,7,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B412_Caenimonas,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B413_Ahniella,0.0033333333333333,100,5,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B41_Staphylococcus,0.0053333333333333,100,8,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B425_Aridibacter,0.0107142857142857,100,16,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B429_Christensenellaceae_R_7_group,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B430_Parasegetibacter,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B431_Unclassified_Genus105,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B434_UTBCD1,0.0026666666666666,100,4,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B436_Luteitalea,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B438_CL500_3,0.004,100,6,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B441_Unclassified_Genus109,0.0073809523809523,100,10,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B447_Unclassified_Genus112,0.0007142857142857,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B451_Undibacterium,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B459_Unclassified_Genus118,0.0053333333333333,100,8,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B460_Belnapia,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B465_Halobacillus,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B467_Pontibacillus,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B46_Bradyrhizobium,0.0213809523809523,100,29,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B470_Rheinheimera,0.0226666666666666,100,30,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B471_Geodermatophilus,0.0026666666666666,100,4,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B473_Ramlibacter,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B478_Nitratireductor,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B480_Runella,0.0093333333333333,100,14,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B481_Limibaculum,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B482_Unclassified_Genus124,0.0026666666666666,100,4,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B485_Neochlamydia,0.0414285714285714,100,44,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B486_Brevibacillus,0.0139999999999999,100,21,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B487_Unclassified_Genus125,0.0166666666666666,100,21,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B492_Unclassified_Genus128,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B494_Sediminibacterium,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B49_Bacteriovorax,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B503_Gemmatimonas,0.0246666666666666,100,29,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B508_Lutispora,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B520_Unclassified_Genus141,0.004,100,6,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B523_Rhodopseudomonas,0.0066666666666666,100,10,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B525_Labrys,0.0086666666666666,100,13,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B532_WCHB1_32,0.0073333333333333,100,11,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B534_Unclassified_Genus144,0.0033333333333333,100,5,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B539_Steroidobacter,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B53_Paracoccus,0.0066666666666666,100,10,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B540_Cereibacter,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B543_Unclassified_Genus147,0.016,100,21,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B548_Unclassified_Genus150,0.0327142857142857,100,41,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B54_Paenisporosarcina,0.002,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B555_Puia,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B560_Unclassified_Genus157,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B563_P3O42,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B567_Wenxinia,0.0093333333333333,100,13,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B57_Kocuria,0.0206666666666666,100,27,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B580_Candidatus_Entotheonella,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B582_Unclassified_Genus162,0.0073333333333333,100,11,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B584_Fibrella,0.006,100,9,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B58_Agromyces,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B59_Altererythrobacter,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B603_Nitrosospira,0.0073333333333333,100,11,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B609_Unclassified_Genus175,0.0086666666666666,100,12,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B610_Unclassified_Genus176,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B611_Unclassified_Genus177,0.006,100,9,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B61_Sediminicola,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B621_Unclassified_Genus181,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B628_Archangium,0.0213809523809523,100,27,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B633_Unclassified_Genus185,0.0046666666666666,100,7,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B638_Desulfobulbus,0.0033333333333333,100,5,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B639_Ruminiclostridium,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B641_Unclassified_Genus189,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B649_OLB8,0.0046666666666666,100,7,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B651_Unclassified_Genus195,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B659_Anaeromyxobacter,0.0227142857142857,100,31,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B668_Anaerolinea,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B672_Desulfosporosinus,0.0026666666666666,100,4,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B69_Oleibacter,0.0007142857142857,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B81_Unclassified_Genus7,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B83_Unclassified_Genus8,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B87_Pontibacter,0.006047619047619,100,8,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B88_Aeromonas,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B8_Tepidiphilus,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B95_Unclassified_Genus9,0.0073809523809523,100,11,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,C1_salt,0.0107142857142857,100,15,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,C2_fresh,0.018,100,24,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,C3_sed,0.06,100,61,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F101_Stachybotrys,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F105_Pleurophragmium,0.0033333333333333,100,5,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F108_Pestalotiopsis,0.0053333333333333,100,8,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F10_Boeremia,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F110_Fusicolla,0.0153333333333333,100,20,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F111_Bimuria,0.0553809523809523,100,58,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F114_Acrostalagmus,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F116_Nectriopsis,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F119_Phaeosphaeria,0.0066666666666666,100,10,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F129_Phialemoniopsis,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F132_Psathyrella,0.04,100,47,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F138_Lophiostoma,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F140_Didymocyrtis,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F141_Unclassified_Genus27,0.03,100,40,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F143_Chordomyces,0.02,100,30,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,F144_Monocillium,0.0006666666666666,100,1,complete_100_seeds
